Tweets,Task A
" u""What went so horribly wrong for Congress President Rahul Gandhi that he lost from his family's pocket borough Amethi Lok Sabha constituency?\r\nAsk local leaders and people and they cite reasons like Congress turncoats benefitting BJP's Smriti Irani and apparen\u2026 [+5802 chars]"",",0
" The prestigious Jadavpur parliamentary constituency in West Bengal has never blessed a political party for a third consecutive term. Can the Trinamool Congress buck the trend? \r\nAs this question was posed to an elderly TMC worker, his mind flashed back to 198\u2026 [+3539 chars]",0
" When the forensics of the 2019 Lok Sabha election are done in the future, strange things may emerge from the examination. While some answers might be surprising, the questions themselves might be quite different from those many are asking today. Given a chunk\u2026 [+7223 chars]',",0
"The gruelling election season has come to a slow and grinding end and we await the results. However, debates continue to rage, from family gatherings to local tea-shops to TV screens to (un)social media, leading to frayed tempers and fractured relations.",0
"The situation in the city resembled a ‘bandh’ on Thursday when LS elections were held in Tamil Nadu, with most thoroughfares, including arterial Anna Salai and Poonamallee High Road, almost deserted. Shops, business establishments and shopping malls were shut and movie shows were cancelled during the day.",0
" A day after multiple exit polls predicted a comfortable majority for the Bharatiya Janata Parrt-led National Democratic Alliance (NDA) at the Centre, the BJP’s Madhya Pradesh leadership wrote to governor Anandiben Patel, seeking a special assembly session. The BJP claimed the Congress government, led by Kamal Nath, no longer has the numbers to rule the state.",0
"By winning 19 out of the 20 seats in the Lok Sabha elections in Kerala, the United Democratic Front (UDF), led by the Congress, has registered a dramatic, if not a historic, victory. It has broken all kinds of records, be it in terms of the number of seats, winning margins or the scale of electoral outcome.",0
The ‘Sadak se Sansad’ team has arrived at the Basirhat Lok Sabha constituency in West Bengal. Basirhat shares a border with Bangladesh and has lately seen a lot of communal polarisation.,0
"A Delhi Court Saturday dismissed the bail plea of Sushen Mohan Gupta, an alleged defence agent arrested in the AgustaWestland VVIP choppers scam case.",0
" The Bharatiya Janata Party (BJP)\xa0 and more than that, Narendra Modi\xa0 has come back with a larger mandate than what it was given by Indias voters in 2014. \r\nAt one level, this is remarkable given the economic distress all around, which should have led to a str\u2026 [+8965 chars]',",0
" by Mihir SharmaAfter a long and arduous election, with months of campaigning and voting spread over seven phases, India\u2019s 879 million voters have spoken. And, if not with one voice, then close to it. The Bharatiya Janata Party of Prime Minister Narendra Modi \u2026 [+4673 chars]',",0
" (Bloomberg) -- Join us on WhatsApp for special coverage of Indias election. Sign up\xa0here.Indian Prime Minister Narendra Modi has surged to a majority on his own in Indias general election, with his Bharatiya Janata Party establishing a commanding lead in vote\u2026 [+4338 chars]',",0
" Tribune News Service Gaggar Majra (Khanna), May 13\r\nCongress president Rahul Gandhi said on Monday that senior party leader Sam Pitroda should be ""ashamed"" of his comments on the anti-Sikh riots of 1984.\r\nGandhi, who was addressing a rally at Gaggar Majra vil\u2026 [+1498 chars]',",0
"The BJP has registered its best ever performance in Karnataka, with almost a clean sweep of the State ruled by the coalition of its political opponents, the Janata Dal(S) and Congress.",0
"Bengal has now become the stronghold of Rohingya of Bangladeshi infiltrators (terrorists) who did not even leave the Centre Corps, the video has to be sent to the Election Commission.  @ECISVEEP @MamataOfficial @TajinderBagga",0
" New Delhi: Malegaon blast accused and BJP candidate from Bhopal, \u2018Sadhvi Pragya Thakur triggered a political storm by describing Mahatma Gandhis assassin Nathuram Godse as a deshbhakt (patriot). She was responding to the remark by actor-politician Kamal Haasa\u2026 [+9799 chars]',",0
" Mr Modi meditated at a holy cave in the northern Indian state of Uttarakhand\r\nIndia's Prime Minister Narendra Modi took a spiritual break on the eve of the final day of voting in the country's general election.\u2026 [+1357 chars]"",",0
" Howrah Election Results 2019: Howrah went to polls on Mon, May 6, 2019 (Image Source: data.indianexpress.com)\r\nHowrah (West Bengal) Lok Sabha Election Results 2019 Live: The Howrah Lok Sabha constituency went to polls on Mon, May 6, 2019. In the last Lok Sabh\u2026 [+2229 chars]",0
" New York: Barely a month after TIME magazine put out an article calling Narendra Modi Divider in chief, the US-based publication took a U-turn on its stand on\xa0Indias Prime Minister after he returned to power with a bigger mandate in the 2019 Lok Sabha electio\u2026 [+1867 chars]",1
" Sadhvi Pragya Singh Thakur at BJP headquarters in Bhopal. (Source: PTI/File)\r\nAs three more party leaders joined BJP Bhopal Lok Sabha candidate Pragya Singh Thakur in praising Mahatma Gandhis assassin Nathuram Godse and added to the partys discomfiture, the B\u2026 [+5196 chars]',",0
" Two Trinamool Congress MLAs, Subhranshu Roy from Bijpur and Tushar Kanti Bhattacharjee from Bishnupur joined the saffron brigade on Tuesday. (Photo: Twitter @BJP4India)\r\nIn less than a week since the Lok Sabha election results showed BJP making deep inroads i\u2026 [+5913 chars]',",0
"  Narendra Modi is seen by his supporters as one of their own\r\nNarendra Modis landslide win proves that his story of a humble tea-seller who rose through the ranks of his party to become Indias prime minister continu\u2026 [+8231 chars]"",",0
" 523Bharatiya Janata Party, BJPArun5\r\n232014543303353Jawaharlal Nehru\xb7Indira Gandhi30\r\n519\r\nNDTVNidhi Razdan\u2014\u20142014\r\n52\r\n214Central Reserve Police ForceCRPF402261971-21\r\n M-17 M-17 \r\n\u2014\u2014250300\r\n511 News Nation Raw Vision\u2014\u2014\r\n310\r\n2035197819922014Rajiv Tyagi\r\n20Sw\u2026 [+757 chars]",0
"In a Facebook post earlier in the day, Anil Soumitra wrote: ""Mahatma Gandhi was the father of the nation, but of Pakistan. India has had crores of sons like him, some worthy, some unworthy.""",1
" The majority view in the party, however, was that Rahul should continue.\r\nA DAY after Rahul Gandhi triggered a churn in the Congress expressing his intention to step down and ticking off two chief ministers and a senior leader for lobbying for tickets for the\u2026 [+3512 chars]',",0
" I am enjoying the attention, says Aditi. I am an ardent cricket lover and had gone to support a close friend (didnt wish to name) who was playing for Mumbai Indians. I was enjoying the match when the cameraperson spotted me, and the rest, you know, I was engr\u2026 [+18 chars]',",0
" The chief minister addressed four rallies in Maharajganj, Fazilnagar, Pipraich and Jaitpur in eastern Uttar Pradesh, where polling for the Lok Sabha election will be held on the seventh and last phase on May 19. (PTI Photo)\xa0\r\nUttar Pradesh Chief Minister Yogi\u2026 [+2609 chars]',",0
"On March 11, 2017, the day the assembly election results were declared in Uttar Pradesh, a clip of Muslim women celebrating Narendra Modi’s victory in Varanasi was prominently featured on the media. The ANI feed made its way to primetime news on almost every channel. Several people across the city would cite the images of a few burkha-clad women dancing and singing praises of Modi as proof that ‘even Muslims’ were supporting their ‘great leader’.",0
" Returning to the immediate context of the PMs speech, it was only right that the rest of the editorial explained that the feeling of fear and persecution among minorities was not a product of their imagination. (PTI Photo/Manvender Vashist)\xa0\r\nCommenting on Pr\u2026 [+5565 chars]',",0
"  Narendra Modi is seen by his supporters as one of their own\r\nNarendra Modi's landslide win proves that his story of a humble tea-seller who rose through the ranks of his party to become India's prime minister continu\u2026 [+8231 chars]"",",0
"Trying to get the Tatas back to Singur and industrialising the Assembly segment will be at the “top of my agenda”, said Locket Chatterjee, BJP’s candidate in Hooghly constituency, after trends revealed her leading over Dr. Ratna De (Nag) of the Trinamool Congress, the two-term sitting MP from the constituency. Singur is one of the seven Assembly segments under Hooghly constituency.",0
"The percentage of votes for NOTA, or the none-of-the-above option, this year has remained virtually unchanged from last time, according to data from the Election Commission (EC) website.",0
" BHOPAL, India (Reuters) - A Hindu ascetic accused of plotting a bomb attack on Muslims in India defeated an opposition strongman by a big margin on Thursday as her ruling Hindu nationalist party won a massive victory in the country\u2019s general election. \r\nPragy\u2026 [+2487 chars]',",1
" Purulia Election Results 2019: Purulia went to polls on Sun, May 12, 2019 (Image Source: data.indianexpress.com)\r\nPurulia (West Bengal) Lok Sabha Election Results 2019 Live: The Purulia Lok Sabha constituency went to polls on Sun, May 12, 2019. In the last Lo\u2026 [+2241 chars]",0
"Mamta says, Win me 42 seats & I'll show you how to make the Hindus cry. Bengali newspaper BARTAMAN HEADLINES Jaago Hindus jaago, abhi nahi to kabhi nahi. Go out in big numbers and cast your votes against this Goonda party.",1
" When the results started trickling in on Thursday showing Indian Prime Minister Narendra Modi and his Hindu nationalist BJP government were set for a landslide victory after a divisive and polarizing campaign, I was not shocked. As a journalist, I have covere\u2026 [+7538 chars]',",0
"  Narendra Modi is seen by his supporters as one of their own\r\nNarendra Modis landslide win proves that his story of a humble tea-seller who rose through the ranks of his party to become Indias prime minister continu\u2026 [+8231 chars]"",",0
 Uttar Pradesh Chief Minister Yogi Aditynath with the Yadav family. Also seen in the photograph is Shivpal Yadav. (Photo Courtesy: Uttar Pradesh Chief Ministers Office)\r\nChief Minister Yogi Adityanath called on Samajwadi Party (SP) founder Mulayam Singh Yadav \u2026 [+1236 chars],0
" Projecting a united face, party leaders have maintained that both leaders hold different views over the issue and not much should be read into it. (Express Photo by Ashish Kale)\r\nEven as the NCP has upped the ante for the upcoming Assembly elections, party ch\u2026 [+3144 chars]',",0
" Amethi Election Results 2019: Amethi went to polls on Mon, May 6, 2019 (Image Source: data.indianexpress.com)\r\nAmethi (Uttar Pradesh) Lok Sabha Election Results 2019 Live: The Amethi Lok Sabha constituency went to polls on Mon, May 6, 2019. In the last Lok Sa\u2026 [+2194 chars]",0
"The Supreme Court on Tuesday directed the Gujarat government to make a payment of ?50 lakh as compensation to Bilkis Bano, who was gang-raped during the 2002 Gujarat riots.",0
"Professors at Delhi University stand divided on Prime Minister Narendra Modi’s recent remark on former Prime Minister Rajiv Gandhi, with one camp condemning the statement while others extend their support.",0
"The Election Commission has issued a notice to BJP candidate from Gurdaspur Sunny Deol for allegedly violating of the model code of conduct.Poll officials took serious note of a public meeting held by Deol in Pathankot on Friday night, after the silent period come in force.",0
" After the Union Health Minister wrote to Arvind Kejriwal pressing him on the issue, the chief minister had replied on Friday that the Delhi Government has introduced free health care and, therefore, need not implement the central scheme.\r\nThe AAP Sunday terme\u2026 [+3012 chars]',",0
" Nathuram Godse was a deshbhakt (patriot), is a deshbhakt and will remain a deshbhakt. People calling him a terrorist should instead look within. Such people will be given a befitting reply in these polls. Thats avowed seer Pragya Singh Thakur, BJPs Lok Sabha \u2026 [+6841 chars]',",1
" Uttar Pradesh Chief Minister Yogi Adityanath accused the Samajwadi Party, Bahujan Samaj Party and the Congress of looting public resources and building big bungalows for themselves using government funds.\r\nAddressing election rallies in Kushinagar, Ghosi and \u2026 [+1891 chars]',",0
" Prime Minister Narendra Modi addressed a public rally in Madhya Pradesh.\r\nCongress General Secretary Priyanka Gandhi Vadra held a roadshow in Mirzapur and Kushinagar.\r\nThe last phase of Lok Sabha elections will take place on May 19 and counting will take plac\u2026 [+13192 chars]',",0
"Prime Minister Narendra Modi was interviewed by Bollywood actor Akshay Kumar on Wednesday and while answering a question on whether he is active on social media, Modi replied saying that he tracks Kumar and his wife Twinkle Khanna’s Twitter accounts.",0
" Intensifying its attack on the BJP over the vandalism of a bust of social reformer Ishwar Chandra Vidyasagar during the violence in Kolkata, the Trinamool Congress on Wednesday released videos to claim that “BJP goons” damaged the statue",0
"The ongoing rift in the Election Commission has raised the question whether the three-member body can ignore dissent by one of its members, and present only the majority view as the final decision in any proceeding before it.",0
" MUMBAI/BENGALURU/NEW DELHI (Reuters) - Prime Minister Narendra Modi\u2019s party was set for a historic victory as India counted hundreds of millions of votes from its general election on Thursday. \r\nThe National Democratic Alliance (NDA), led by Modi\u2019s Hindu nati\u2026 [+2732 chars]',",0
" PM Modi Oath Ceremony LIVE: Prime Minister Narendra Modi addresses during the NDA parliamentary board meeting at Parliament House, in New Delhi, Saturday. (PTI Photo)\r\nPM Modi Swearing-in LIVE Updates: With just one day to go for Prime Minister Narendra Modi\u2019\u2026 [+2914 chars]',",0
"  Narendra Modi has secured a historic second election victory. \r\nIndian stocks and the rupee rose to welcome the news: another parliamentary majority for the BJP party could grant Mr Modi the opportunity to make promised reforms a \u2026 [+5796 chars]',",0
"  Many see the election as a referendum on Mr Modi who won a landslide in 2014\r\nIndians will finally find out on Thursday who won the general election after a long and bitter campaign.\r\nPrime Minister Narendra Modi, whose B\u2026 [+6713 chars]",0
"Voting is a responsibility of every citizen, so I vote in every election. My choice of candidate should work for the upliftment of the weaker sections of society. The development of any country does not depend solely on the construction of roads, and other infrastructure facilities, but it primarily depends on taking steps to improve the skills of citizens.",0
"To ensure free and fair elections, proceedings from more than 50% of the polling stations in Chennai district will be webcast for live surveillance. Of the 3,735 polling stations in the city, 1,983 will be under constant watch said district election officer G Prakash",0
" Polling for the final phase of the Lok Sabha election is due on Sunday, but the BJP says it has the satisfaction of running a campaign pretty much up to script. \r\nFrom national security to the hard Hindutva messaging, to trying to fashion a vote bank of laabh\u2026 [+3736 chars]',",0
 Mayawati alleged that the Bharatiya Janata Party and Modi were different in reality than what they show themselves to be. (PTI Photo)\r\nBSP president Mayawati on Wednesday claimed that Prime Minister Narendra Modi\u2019s legacy as the Gujarat chief minister is a bl\u2026 [+1654 chars],0
# Modi # G's # One # and #New #Gems Does Modi want to bring Godse ideology into this country? Modi Ji and Amit Shah should apologize to the country.,1
" The crowd broke into Modi! Modi chants and impromptu dance every time the NDA count went up. (Express photo: Prem Nath Pandey)\r\nA dugga from Nashik, a chenda from Kollam and a nagaada from Palwal BJPs resounding victory Thursday found crescendo at the partys \u2026 [+2050 chars]',",0
" Mr Modi meditated at a holy cave in the northern Indian state of Uttarakhand\r\nIndias Prime Minister Narendra Modi took a spiritual break on the eve of the final day of voting in the countrys general election.\u2026 [+1357 chars]"",",0
"At least four out of seven members belonging to the Janata Dal (Secular) party in Karnataka, have been confirmed dead in the bomb blasts that rocked the island nation of Sri Lanka on Sunday.",0
"Congress spokesperson Abhishek Manu Singhvi on May 22 hit out at the Election Commission of India for not accepting Opposition’s demand to tally VVPAT slips before the counting of votes, saying ‘you will not do anything and let EVM turn into Electronic Victory Machine’.",0
"BJP government has done nothing in the last five years; Girish Bapat is speed breaker in Pune’s development, says Mohan Joshi",0
" We were thrilled when the team identifying itself as part of a popular Hindi movie production unit reached here. We welcomed them warmly, and hoped to see famous actors like Amitabh Bachchan or Rishi Kapoor. But within days of their arrival, armed police pers\u2026 [+2741 chars]',",1
" Social media users are trolling TIME for its ""U-turn"" on publishing a pro-Modi article days after the popular magazine termed him as ""India\'s Divider in Chief"" on its cover page.New Delhi (Sputnik): TIME magazine, in\xa0its latest article, has praised the Indian\u2026 [+1825 chars]",0
"The Supreme Court Friday refused to grant interim protection from arrest to a SP-BSP alliance candidate from Ghosi Lok Sabha constituency in Uttar Pradesh, who was seeking relief till May 23 in a rape case registered against him.",0
"a press conference is an event at which one is asked unscripted questions by a group of journalists and one answers them. Given that Prime Minister Narendra Modi's appearance before some members of the press did not satisfy these criteria, it is extraordinary that it was nevertheless billed by some as ""PM Modi's first press conference"". That's like seeing Modi at the stands during a cricket match and declaring ""PM Modi wins World Cup"".",1
Modiji gunda hein ... tho ... Mamata Banerjee Super Cop hein      “I will give one right slap to PM Modi if he comes to West Bengal”                                                                                                                Get ready for Tears & victim card ... been there ... seen that                                                                                  #LokSabhaElections2019  #Phase6,1
" The Opposition appears to be in meltdown mode following the BJPs sweeping victory in the Lok Sabha election. Bahujan Samaj Party chief Mayawati announced on Tuesday that her partys alliance with the Samajwadi Party stands terminated for now, and that it would\u2026 [+2529 chars]',",0
" NEW DELHI: The Election Commission of India will declare the results of 2019 Lok Sabha Elections on May 23. This time, the voter turnout for Lok Sabha poll was the highest ever at around 67.11%. On Thursday, votes will be counted for 542 Lok Sabha seats, inst\u2026 [+1136 chars]',",0
" West Bengal Chief Minister Mamata Banerjee. (File/Reuters)\r\nBorrowing from Rahul Gandhi\u2019s election playbook, West Bengal Chief Minister Mamata Banerjee egged the crowd at a TMC rally in Bengal to chant \u2018chowkidar chor hai\u2019, a phrase used by the Congress chief\u2026 [+1352 chars]',",1
"All seven phases of voting to elect members of the 17th Lok Sabha have been completed and the votes will be counted tomorrow – May 23. Soon after the last phase of polling ended, pollsters had a field day with their exit poll findings about the likely performance of political parties and pre-poll/post-poll alliances.",0
 Shri Kiren Rijiju took over as the Minister of State (Independent charge) for the Ministry of Youth Affairs and Sports here today. Shri Rijiju was administered the oath of office and secrecy by the President in a ceremony held at Rashtrapati Bhawan yesterday.\u2026 [+1790 chars],0
"  Many see the election as a referendum on Mr Modi who won a landslide in 2014\r\nIndians will finally find out on Thursday who won the general election after a long and bitter campaign.\r\nPrime Minister Narendra Modi, whose B\u2026 [+6713 chars]",0
" After the exit polls, it is now time for the final countdown to the 2019 Lok Sabha elections on May 23 the day on which the results will be declared by the Election Commission of India. On Thursday, votes will be counted for 542 Lok Sabha seats, instead of to\u2026 [+2055 chars]",0
" BJP president Amit Shah. (Express Photo: Anil Sharma/File)\r\nBharatiya Janata Party (BJP) president Amit Shah Friday said the favourable comments for Mahatma Gandhi assassin Nathuram Godse made by BJP leaders are not in line with the party ideology. Shah said \u2026 [+1909 chars]',",0
Barak Obama Watching Swearing Ceremony @narendramodi This Is Modi Power #ModiSarkar2 #ModiSwearingIn,0
" TMC leader Derek O\u2019Brien at a press conference in New Delhi on Wednesday. (Express photo by Renuka Puri)\r\nArmed with videos which the party claimed conclusively proves that BJP workers had vandalised the statue of Ishwarchandra Vidyasagar in the eponymous col\u2026 [+2698 chars]',",0
"After calling Prime Minister Narendra Modi the ""biggest actor in the world"" and saying that people might as well have chosen megastar Amitabh Bachchan for the top post, Priyanka Gandhi Vadra made another Bollywood reference to attack him. She drew a comparison between PM Modi and a character from Bollywood classic Sholay, played by veteran actor Asrani.",1
" The treaty prohibits any nuclear weapon test explosion or any other nuclear explosion, of any size, regardless of the yield. Although the pact never took effect officially because the United States and seven other key countries didnt ratify it, the major nucl\u2026 [+1539 chars]',",1
" The Congress\u2019s precipitous defeat in the Lok Sabha election has many top leaders of the party wondering if it will still be around or whether the BJP has attained its objective of \u2018Congress-mukt Bharat\u2019. The party that hovered around 50 seats, marginally more\u2026 [+3306 chars]',",0
" New Delhi:\xa0Reopening wounds, referencing popular culture to deliver insults and sexist jibes, it was all par for the electoral course in a season that tumbled to a name-calling close in a medley of chowkidar', bhrashtachari', Aurangzeb, Mogambo and more.\r\nIt \u2026 [+5419 chars]",1
" Tribune News Service Gaggar Majra (Khanna), May 13\r\nCongress president Rahul Gandhi said on Monday that senior party leader Sam Pitroda should be ""ashamed"" of his comments on the anti-Sikh riots of 1984.\r\nGandhi, who was addressing a rally at Gaggar Majra vil\u2026 [+1498 chars]',",0
"Even as analysts continue to point out various discrepancies in the exit poll results, reports of possible security breaches in EVM strongrooms have started pouring in.",1
 Leaders of as many as 22 opposition parties met the Election Commission (EC) on Tuesday and demanded verification of VVPAT slips of randomly-selected polling stations before the counting of the votes polled in the just-concluded Lok Sabha election begins on May 23.,0
" Exit polls suggested that Indias once-dominant powerhouse of a political party, the Indian National Congress, would not be returning to its old glory anytime soon.\r\nAny gains the Congress party does make are likely to be because of disappointment in Mr. Modis\u2026 [+737 chars]',",0
"While my pilots and security men got into a spat that delayed our departure, I decided to go say hello to the firemen who work tirelessly behind the scenes to keep us all safe. I enjoyed spending time with them!",1
" Indira Gandhi at a press conference at Vigyan Bhavan, New Delhi, 1971. Modi, a BJP leader said, wants to model himself not on any RSS idol, but her. (Express Archive)\r\nNarendra Modis 2019 win is a watershed moment in the contemporary history of India. The she\u2026 [+5776 chars]',",0
"Nobel Peace Prize laureate Kailash Satyarthi today hit out at BJP leader Pragya Singh Thakur for her comment that Nathuram Godse, who assassinated Mahatma Gandhi, was a ""deshbhakt (patriot)"". The 65-year-old child rights activist posted a message on Twitter warning the nation that comments by people like Pragya Thakur were ""killing the soul of India"".",0
Rajappan was stirred to join politics because of the high rates of crime against transgender people and a commitment to anti-caste principles.,0
"The YSRCP has secured a vote share of 49.95 percent while the TDP has secured a vote share of 39.17 percent, according to the official EC data. ",0
" After the exit polls, it is now time for the final countdown to the 2019 Lok Sabha elections on May 23 the day on which the results will be declared by the Election Commission of India. On Thursday, votes will be counted for 542 Lok Sabha seats, instead of to\u2026 [+2055 chars]",0
" NEW DELHI (Reuters) - Indian Prime Minister Narendra Modi will hold talks on Friday to form a new cabinet to tackle a stuttering economy and other challenges facing his second term after winning a big majority. \r\nOfficial data from the Election Commission sho\u2026 [+3232 chars]',",0
"Tuesday, May 15, was my mother’s birthday. She was born 94 years ago in Uttar Pradesh, in a town called Shahjahanpur. At home, like thousands of other pravashi Bengalis, she, too, learnt Bengali, the script, from the universal text: Ishwar Chandra Vidyasagar’s Barna Parichay or Introduction to the Alphabets",0
" ON June 1, 10 days after the Narendra Modi-led Bharatiya Janata Party (BJP) inflicted a second, successive monumental defeat on it in a general election, the Congress leadership, including the president Rahul Gandhi, made a relatively longish public appearanc\u2026 [+16254 chars]',",0
"He is the author of ‘Implosion: India’s tryst with reality’, presenting a critical review of Prime Minister Narendra Modi’s government",0
" Actor-filmmaker-singer Farhan Akhtar got trolled for appealing to the voters of Bhopal on Sunday, a week after the city had recorded 61.71 per cent voting. Following this, he pointed out how people have got their ""priorities"" wrong.\r\n""Humne taareek galat samj\u2026 [+1294 chars]',",0
"As the counting of votes for the Sikkim assembly polls proceeds towards a finish, the ruling Sikkim Democratic Front (SDF) and the opposition Sikkim Krantikari Morcha (SKM) are locked in a close climax.",0
"One of the least discussed yet most influencing factor in the upcoming Lok Sabha elections in Punjab is neither development nor national security or demonetization. It is be-adbi or blasphemy. In fact, according to a study conducted by media students of a leading university in the state, be-adbi was perhaps the most searched and used word online and on social media by majority of the youth.",1
" AAP with their alliance Jannayak Janata Party (JJP) secured less than 2% of the vote share in their constituencies. (Representational image)\r\nThe three candidates fielded by the Aam Aadmi Party in Haryana, as part of their alliance with the Jannayak Janata Pa\u2026 [+2085 chars]',",0
PM Narendra Modi has been repeatedly criticised by Congress president Rahul Gandhi and other opposition leaders for not addressing a single press conference since he took the top job.,0
"  Similar to the ""Make America Great Again"", its all about ""NaMo Again"" for BJP supporters\r\nIn this year\'s Indian election, Prime Minister Narendra Modi clocked up more than 140 rallies while chasing a second term.\u2026 [+7890 chars]',",0
 Elections 2019 Phase 7 Voting LIVE Updates: The election results will be declared on May 23.\xa0(File)\r\nElections 2019 Phase 7 Voting LIVE Updates: Voting for the seventh and final phase of the Lok Sabha elections will begin on Sunday amid tight security in 59 c\u2026 [+2598 chars],0
" NEW DELHI (Reuters) - Indian Prime Minister Narendra Modi will hold talks on Friday to form a new cabinet to tackle a stuttering economy and other challenges facing his second term after winning a big majority. \r\nOfficial data from the Election Commission sho\u2026 [+3232 chars]',",0
"PATNA: The BJP is all set to launch an intense campaign in the five constituencies going to the polls in the fourth phase on April 29. Prime Minister Narendra Modi is also scheduled to address an election rally at Darbhanga, one of the five constituencies going to the polls in the fourth phase, on April 25. The other four constituencies are Ujiarpur, Samastipur, Begusarai and Muger. ",0
Naseeruddin Shah is welcome to leave “TOLERANT & REALLY SECULAR INDIA”. He should forget his dream of Islamisation of India.,1
" Senior BJP leader Shahnawaz Hussain has claimed that the BJP will win 301 Lok Sabha seats on its own while the NDA will win 39 out of the 40 LS seats in Bihar due to a ""Modi wave"" sweeping across the country and a ""wave against the entire opposition"" this tim\u2026 [+2002 chars]",0
BJP candidate and terror-accused Pragya SinghThakur on Thursday called Mahatma Gandhi’s assassin Nathuram Godse a ‘patriot’.,1
" In Gujarat, voting was held in a single phase on April 23, which had witnessed a record turnout of 64.11%. (File)\r\nThe BJP not only repeated its 2014 tally by heading towards a win in all the 26 Lok Sabha seats in Gujarat, but also improved its vote share fro\u2026 [+3265 chars]',",0
"Karnataka Congress on May 21 issued a show-cause notice to its senior leader and legislator R Roshan Baig, for his outbursts against the party leadership. Baig, however, remained defiant, saying he would not ‘even bother to read’ the notice.",0
"Joining the ongoing controversy over EVMs, former President Pranab Mukherjee on Tuesday expressed concern over the alleged tampering of voters’ verdict, saying that the onus of ensuring institutional integrity lies with the Election Commission, which should put all speculation to rest.",0
" Congress General Secretary Priyanka Gandhi fired a fresh salvo at Prime Minister Narendra Modi and called him the worlds ""greatest actor"".\r\n""Ab aap samajh lijiye ke apne duniye ke sabse bade abhineta ko apna Prime Minister bana diya hai, is se accha toh aap A\u2026 [+752 chars]',",1
" KP Yadav, BJP MP from Guna constituency\r\nBJP MP from Guna Lok Sabha constituency, KP YADAV, used to be a representative of former union minister and Congress leader Jyotiraditya Scindia till early last year. The 43-year-old switched loyalty to the BJP, lost a\u2026 [+2311 chars]',",0
" BJP pitted Sadhvi Pragya Singh Thakur against Congress veteran Digvijaya Singh in Bhopal. (File)\r\nA BJP bastion for past 30 years, Bhopal, the capital city of Madhya Pradesh, saw a highly polarised battle between BJP candidate and Malegaon blast accused Sadhv\u2026 [+3628 chars]',",0
"Congressional President of Congress, Mr. Rahul Gandhi Ji, won the record with 8 lakh 54 thousand 297 votes. This is the biggest win from 542 seats",0
" Despite his misgivings, Modi, youngsters said, has a definite edge.\r\nTHE issue of jobs seems to be the major talking point in the Malwa region ahead of voting day on May 12.\r\nYoungsters of the region however dont seem too impressed with the Bharatiya Janata P\u2026 [+2743 chars]',",0
" NEW DELHI (Reuters) - Indian Prime Minister Narendra Modi will hold talks on Friday to form a new cabinet to tackle a stuttering economy and other challenges facing his second term after winning a big majority. \r\nOfficial data from the Election Commission sho\u2026 [+3232 chars]',",0
" Shares of Kirklands Inc. dove Thursday toward the lowest close in more than a decade, after the home decor retailer reported a wider-than-expected loss, sales that fell more than forecast and cut its full-year profit outlook, as President Trumps the ongoing t\u2026 [+2889 chars]",0
"The Narendra Modi wave 2.0 was clearly visible in North Indian States like Haryana, Uttarakhand, Himachal Pradesh and Delhi where the BJP won all the seats while the Congress drew a blank.",0
"""Time magazine is foreign, the writer has also said he comes from a Pakistani political family. That is enough for his credibility,"" PM Narendra Modi said today.",0
" BHOPAL, India (Reuters) - A Hindu ascetic accused of plotting a bomb attack on Muslims in India defeated an opposition strongman by a big margin on Thursday as her ruling Hindu nationalist party won a massive victory in the country\u2019s general election. \r\nPragy\u2026 [+2487 chars]',",1
 Samajwadi Party founder Mulayam Singh Yadav and former Uttar Pradesh chief minister Akhilesh Yadav. (File)\r\nThe Central Bureau of Investigation (CBI) Tuesday gave a clean chit to Samajwadi Party patriarch Mulayam Singh Yadav and former Uttar Pradesh chief min\u2026 [+1120 chars],0
 Mr Amash also accused Attorney General William Barr of misleading the public\r\nJustin Amash has become the first Republican congressman to call for the impeachment of President Donald Trump. \r\nHe claimed Mr Trump had \u2026 [+1922 chars],0
"Final results of 31 out of 60 Assembly constituencies have been declared by the Election Commission of India. Out of these 31 seats, BJP has bagged 19, JD(U) 5, Congress 3, Independents candidates 2, while 1 seat each to NPP and PPA.",0
" Spread over a month and a half and split into seven phases, the long and arduous election process in India has drawn to a close. Now, the country and the world waits with bated breath to find out who will control the destiny of the world\u2019s largest democracy f\u2026 [+6517 chars]",0
" Theres a Hindi song that used to be rather popular with DJs and RJs that goes Abhi Toh Party Shuru Hui Hai (The partys just begun). And thats exactly how I feel now that the election is over and the BJP has returned to power with a massive mandate. \r\nWell-mea\u2026 [+3863 chars]',",0
"BOOM investigates the top 20 Facebook pages to spend on political ads last week (07.04.2019 – 13.04.2019), based on Facebook’s weekly ad archive report.Kerala’s Left Democratic Front and Bengal’s All India Trinamool Congress decided to boost their marketing efforts on social media by sponsoring posts on their official Facebook pages to a tune of Rs. 4.4 lakh and Rs. 1.5 lakh, respectively, between April 7 and April 13, 2019.",0
" She wrote: ""A bold economic reform agenda may be what comes next. But equally possible, based on the recent track record, might be stepped-up development projects in lieu of tough reforms, and a more nationalist approach to economic matters.""\r\n""A mandate for \u2026 [+624 chars]",0
"Rohith Vemula's sucide was an institutional murder. Bhakts mocked about it, and now Irani is threatening suicide",1
"Karnataka Congress worker tried to burn Prime Minister Narendra Modi’s effigy and their own lungis caught fire. The fire turned strong as soon as it touched petrol. The fire grew stronger as everyone ran haywire. As per the latest report, several people are hospitalised. Watch the lungi dance",1
